tag,categoria,processos_origem,descricao,quantidade_eventos,porcentagem_total
SystemServerTimingAsync,Gestão de Usuários e Acesso,system_server,Mapeamento assíncrono de tempos de inicialização de serviços no boot,3675,8.21%
SystemServerTiming,Outros / Serviços Gerais do SO,system_server,Rastreamento síncrono de tempos de boot do SystemServer,2594,5.79%
auditd,Auditoria e SELinux,"auditd, init (0.4%), keystore2 (0.4%)",Daemon de auditoria de segurança do kernel Linux (SELinux e regras de auditoria),1361,3.04%
init,Outros / Serviços Gerais do SO,"servicemanager, init (0.5%)",Processo inicial do sistema (PID 1) responsável pelo boot e serviços,1204,2.69%
PackageManager,Outros / Serviços Gerais do SO,system_server,"Gerenciamento, instalação e verificação de pacotes e apps",1178,2.63%
SatelliteController,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,811,1.81%
HvacController,Subssistema Automotivo (AAOS),com.android.systemui,"Controle de climatização, temperatura e ventilação veicular (HVAC)",790,1.76%
ContextImpl,Outros / Serviços Gerais do SO,"com.android.car (14.5%), android.ext.services (12.2%), android.car.usb.handler (12.2%)",Implementação base do contexto da aplicação no framework Android,736,1.64%
libbinder.BackendUnifiedServiceManager,Outros / Serviços Gerais do SO,"auditd (89.4%), servicemanager (1.9%), pid:766 (0.4%)",Camada de comunicação inter-processos (IPC) via Binder,729,1.63%
nativeloader,Outros / Serviços Gerais do SO,"android.ext.services (10.0%), system_server (5.6%), zygote64 (5.5%)",Carregamento dinâmico de bibliotecas nativas C/C++ (.so),677,1.51%
sysui_multi_action,Gestão de Usuários e Acesso,"system_server, com.android.systemui (0.2%)",Métricas e telemetria de eventos da interface SystemUI,636,1.42%
AccessibilityUserState,Gestão de Usuários e Acesso,system_server,Configurações e serviços de acessibilidade do usuário,548,1.22%
vold_prepare_subdirs,Criptografia e Chaves,vold_prepare_subdirs,Preparação e provisionamento de subdiretórios criptografados por usuário (FBE),538,1.20%
GraphicsEnvironment,Outros / Serviços Gerais do SO,"android.ext.services (4.7%), com.android.phone (3.5%), com.android.permissioncontroller (2.4%)",Configuração do ambiente de drivers gráficos e Vulkan/GLES,510,1.14%
StorageManagerService,Outros / Serviços Gerais do SO,system_server,"Serviço de gerenciamento de partições, volumes e armazenamento seguro",500,1.12%
SystemServiceRegistry,Outros / Serviços Gerais do SO,"system_server, com.android.systemui (0.7%)",Catálogo de registro e injeção de serviços do sistema,459,1.03%
libprocessgroup,Outros / Serviços Gerais do SO,"servicemanager (60.9%), system_server (2.4%), android.ext.services (1.3%)",Gerenciamento de cgroups para controle de recursos de processos,450,1.01%
StrictMode,Outros / Serviços Gerais do SO,"android.process.acore (58.5%), com.android.car.templates.host (36.5%), system_server (4.9%)",Monitor de operações indevidas na thread principal da interface,427,0.95%
SubscriptionManager,Subssistema Automotivo (AAOS),"com.android.car (64.5%), com.android.systemui (34.0%), android.car.cluster (1.4%)","Assinatura de eventos e propriedades veiculares no CarPropertyManager (CarSubscription: velocidade, marcha, freio)",420,0.94%
Zygote,Outros / Serviços Gerais do SO,"zygote64 (77.9%), android.ext.services (1.0%), com.android.phone (0.8%)",Processo raiz gerador dos processos Java/Android via fork,393,0.88%
cppreopts,Outros / Serviços Gerais do SO,"pid:973 (0.3%), pid:982 (0.3%), pid:983 (0.3%)",Compilação e pré-otimização de código nativo durante a inicialização,387,0.86%
CompatChangeReporter,Outros / Serviços Gerais do SO,"android.ext.services (5.9%), system_server (4.9%), com.android.phone (4.4%)",Relatório de compatibilidade de APIs entre versões do Android,387,0.86%
RILJ,Outros / Serviços Gerais do SO,com.android.phone,Camada Java da Interface de Rádio (Radio Interface Layer) para telecomunicações,383,0.86%
artd,Outros / Serviços Gerais do SO,artd,Daemon do runtime ART para compilação e otimização de bytecode DEX,382,0.85%
ActivityManagerTiming,Outros / Serviços Gerais do SO,system_server,Métricas de tempos de inicialização de telas e componentes,348,0.78%
servicemanager,Outros / Serviços Gerais do SO,servicemanager,Registro central de serviços de sistema IPC (Binder),337,0.75%
SatelliteAccessConfigurationParser,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,326,0.73%
ModernMediaScanner,Outros / Serviços Gerais do SO,com.android.providers.media.module,Eventos não categorizados em nenhuma categoria anterior.,296,0.66%
bluetooth,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,287,0.64%
resolv,Rede e Conexões,netd,Módulo resolvedor de DNS e integridade de conexões de rede,267,0.60%
CCodec,Outros / Serviços Gerais do SO,"system_server (48.6%), com.android.providers.media.module (26.3%), com.android.systemui (24.3%)",Eventos não categorizados em nenhuma categoria anterior.,259,0.58%
CCodecConfig,Outros / Serviços Gerais do SO,"system_server (45.0%), com.android.providers.media.module (31.0%), com.android.systemui (24.0%)",Eventos não categorizados em nenhuma categoria anterior.,258,0.58%
vold,Criptografia e Chaves,"vold (97.6%), servicemanager (2.4%)",Daemon de gerenciamento e montagem de volumes e partições criptografadas,254,0.57%
ActivityManager,Outros / Serviços Gerais do SO,system_server,"Gerenciamento do ciclo de vida de atividades, tarefas e processos",245,0.55%
